Gene_ID,adj.P.Val,P.Value,t,logFC,Gene.symbol
ILMN_2319424,0.002393769,5.24E-06,-9.626535607,-0.095278732,GYG2
ILMN_1680703,0.002393769,5.31E-06,9.611170867,0.097630264,MRPS15
ILMN_1791280,0.002393769,5.36E-06,9.600167717,0.124716117,HSPB8
ILMN_1676336,0.002393769,5.36E-06,-9.599938872,-0.099012731,NCEH1
ILMN_1657515,0.002393769,5.40E-06,-9.592757331,-0.192420039,RPS6KA5
ILMN_1656111,0.002596454,5.91E-06,-9.487594433,-0.155651766,MYLIP
ILMN_1795429,0.002614238,6.00E-06,9.469305177,0.145908633,VCL
ILMN_1684352,0.002621138,6.07E-06,-9.455978375,-0.077810334,TRIM45
ILMN_1759330,0.002695362,6.30E-06,-9.413508756,-0.137460213,KIF1A
ILMN_1801616,0.002695362,6.35E-06,-9.40355554,-0.142108841,EMP1
ILMN_1694491,0.002704,6.43E-06,9.389923756,0.214141669,CCNG1
ILMN_1738401,0.002706071,6.49E-06,9.379187781,0.177678399,FOXC1
ILMN_1678535,0.002786713,6.75E-06,9.334315714,0.141922269,ESR1
ILMN_1721170,0.002786713,6.80E-06,9.326153279,0.163951046,GREB1
ILMN_1752526,0.002804132,6.91E-06,-9.306482787,-0.08728284,RNF144B
ILMN_2050911,0.002804132,6.95E-06,-9.300024878,-0.117614464,SLC22A4
ILMN_1765520,0.002806186,7.04E-06,9.285457929,0.075561616,MTIF2
ILMN_2181363,0.002806186,7.11E-06,9.275299472,0.077669609,UBE3C
ILMN_1811303,0.002806186,7.13E-06,9.271313907,0.080844569,NR5A2
ILMN_1703433,0.002854596,7.31E-06,9.242775826,0.094280491,PLSCR3
ILMN_1774547,0.00295712,7.63E-06,-9.193838044,-0.102336043,MPRIP
ILMN_2178226,0.002964127,7.71E-06,-9.182247919,-0.222214389,
ILMN_1729294,0.003023192,7.93E-06,9.1511953,0.139372979,RNF130
ILMN_1725726,0.003082864,8.15E-06,-9.120504954,-0.131342966,DHRS2
