Gene_ID,adj.P.Val,P.Value,t,logFC,Gene.symbol
230183_at,0.019208271,4.46E-05,-9.551531374,-0.200692275,EXT1
229810_at,0.019857434,4.66E-05,-9.482827952,-0.354606561,RSPH3
229123_at,0.019857434,4.69E-05,-9.475907738,-0.210590811,ZNF224
210435_at,0.019963237,4.77E-05,-9.447589198,-0.164097555,ARL17B///ARL17A
230434_at,0.019963237,4.78E-05,-9.444032005,-0.145976291,PHOSPHO2
213142_x_at,0.020312198,4.90E-05,-9.405760023,-0.2939187,GSAP
207528_s_at,0.020603332,5.01E-05,9.372443013,0.348821947,SLC7A11
211421_s_at,0.020846862,5.14E-05,-9.332959566,-0.225244828,RET
244764_at,0.020846862,5.15E-05,-9.331774361,-0.19326451,HIVEP3
209216_at,0.021340641,5.31E-05,-9.285026925,-0.168178653,WDR45
239337_at,0.021346538,5.35E-05,-9.272784565,-0.16115875,LOC400768
227757_at,0.021346538,5.39E-05,9.262516089,0.170690264,CUL4A
226157_at,0.02152386,5.49E-05,-9.232867259,-0.186789712,TFDP2
227627_at,0.02152386,5.51E-05,-9.228314179,-0.26317861,C8orf44-SGK3///SGK3
219615_s_at,0.021691795,5.69E-05,-9.181396915,-0.154532113,KCNK5
223696_at,0.021691795,5.70E-05,-9.177077706,-0.220253481,ARSD
206941_x_at,0.021691795,5.71E-05,-9.176113413,-0.273813077,SEMA3E
228647_at,0.021691795,5.71E-05,-9.174293302,-0.152340949,LOC100049716
221951_at,0.021696198,5.75E-05,-9.163619948,-0.149248264,TMEM80
204792_s_at,0.021713117,5.83E-05,-9.14511537,-0.234397915,IFT140
206173_x_at,0.021713117,5.84E-05,9.141959691,0.142607674,GABPB1
211548_s_at,0.021814806,5.93E-05,-9.117785972,-0.273435034,HPGD
219860_at,0.021814806,5.97E-05,-9.107546328,-0.199287129,LY6G5C
236623_at,0.021814806,5.98E-05,-9.104849838,-0.145303985,ATP1A1-AS1
201348_at,0.021960202,6.10E-05,9.077493901,0.166869292,GPX3
217604_at,0.021960202,6.13E-05,-9.068717237,-0.225456779,
225588_s_at,0.021960202,6.15E-05,-9.065541125,-0.150110162,TMEM129
227629_at,0.022552263,6.35E-05,-9.016522447,-0.14159841,PRLR
227900_at,0.022967755,6.51E-05,-8.980072145,-0.329558813,CBLB
203913_s_at,0.023054202,6.59E-05,-8.961517893,-0.184481812,HPGD
