ID,LogConc,LogFC,P.val,adj.p.val
mir-33b,-0.7548397265,2.638504041,0.0470061018,0.135029111
mir-4695,0.5422098492,2.9671057983,0.047279114,0.1352910033
mir-130a,0.0619594516,8.6792567655,0.0482621723,0.137574928
mir-3936,0.8509318672,1.7508921582,0.0489763471,0.1390778713
mir-4469,-1.4669875061,1.6649558682,0.0497461379,0.139988212
mir-548q,0.3527522081,3.3000929397,0.0498093518,0.139988212
mir-548e,-0.3153442522,4.4346880059,0.0499860762,0.139988212
mir-3173,-0.160594898,6.6610224963,0.0500495489,0.139988212
mir-6734,0.2374955141,5.2193684454,0.0517670042,0.1442496297
mir-7854,0.6603582021,2.5254255538,0.0527264553,0.1463749357
mir-3195,1.0245964847,2.1512719644,0.0545274239,0.1508119084
mir-3691,0.5778268341,3.0347362719,0.0565888602,0.1559337481
mir-4701,0.5379350703,2.2787004285,0.0569576974,0.1563709478
mir-224,0.2803250562,3.7510285733,0.058011966,0.1582959941
mir-3667,-0.4442378052,3.7207155118,0.0580844172,0.1582959941
mir-3133,-0.5197618009,3.6487193599,0.0622132379,0.1689293758
mir-605,0.3527522081,3.13703649,0.0625055072,0.1691058087
mir-937,0.1993535527,4.5700001366,0.0637518314,0.1718527628
mir-628,0.1373076473,5.3086680349,0.0661226523,0.1770307425
mir-6508,0.8952629323,1.9993436969,0.0661485839,0.1770307425
mir-548ar,-0.5987913322,2.3500920925,0.0668460147,0.1782560392
mir-4440,-0.5151513665,2.8031722646,0.0692796974,0.1840860532
mir-432,-0.9512514811,2.8757059464,0.0715034216,0.1893186679
mir-365b,0.373401967,2.5078056033,0.072602332,0.1915465781
mir-548j,0.2303150716,3.7292793688,0.0743389642,0.1954352982
mir-34b,0.9013805133,1.9547315167,0.0749364466,0.1963123812
mir-616,-0.1940569472,4.9446798692,0.0782148729,0.2038137323
mir-548ac,-0.2917756538,4.409814109,0.0785052312,0.2038137323
mir-101b,-0.6774719841,2.3151467264,0.0786216951,0.2038137323
mir-6791,0.6968977982,2.4836632595,0.0811303619,0.2095867681
mir-3675,-0.4420422232,2.5209011332,0.0835401438,0.2145281881
mir-1179,1.205348838,1.8709092887,0.0836198583,0.2145281881
mir-6881,-0.1251497194,4.3180114334,0.0850954376,0.2171417302
mir-6816,0.6602552848,2.5246050465,0.085222292,0.2171417302
mir-6842,-0.1735733771,4.4963921534,0.0865391596,0.2197444871
mir-4722,0.9835451124,1.8122985064,0.0904985986,0.2290168618
mir-6837,0.8532655988,2.0988163496,0.0909764492,0.2294456888
mir-6861,-0.2058277475,3.5495980504,0.0915922672,0.2302184013
mir-6879,0.3170913735,4.3372669533,0.0946628176,0.2371351391
mir-3124,-0.4171887715,3.0332509292,0.0951253979,0.237494282
mir-548al,-0.5380728157,3.7172129413,0.0959041052,0.2376736524
mir-874,-0.2462135192,6.2950179832,0.0959225497,0.2376736524
mir-1197,-1.647456651,1.8276359311,0.0964750578,0.2376736524
mir-6751,-1.4888572355,1.8193002602,0.0964750578,0.2376736524
mir-4632,-0.8032610461,2.3489649592,0.0976214372,0.2397041229
mir-4779,-0.5512223176,2.5811528121,0.0981175078,0.2401296901
mir-337,-0.6831375717,3.0553824156,0.0990941701,0.2417247953
mir-590,-0.528620471,2.95352656,0.1007767411,0.245025802
mir-6865,-1.5392072238,1.719867578,0.1014161825,0.2457773282
mir-151,-0.7561399364,2.2949211565,0.1042990571,0.2511278269
mir-1957a,-0.3942971393,2.2610426848,0.1042990571,0.2511278269
mir-548ak,0.7583080719,2.0218458397,0.1065059156,0.2556141973
mir-4670,0.1908587648,2.8131867413,0.108229082,0.2586236259
mir-504,0.1786707326,4.2190987424,0.1084550689,0.2586236259
mir-4742,-0.0797334084,6.6325399365,0.1089097506,0.2588781292
mir-154,0.7297759731,2.1266369681,0.1095240868,0.259122498
mir-3614,0.4129621396,2.5479179737,0.1097091221,0.259122498
mir-301a,-0.4023532563,4.0179935453,0.1125086777,0.2644612293
