Gene_ID,adj.P.Val,P.Value,t,logFC,Gene_symbol
ILMN_1770692,0.056000695,0.000272154,6.792596211,0.084375633,WDR12
ILMN_1658289,0.056000695,0.000273131,-6.788606931,-0.09038981,WDR54
ILMN_1812080,0.056000695,0.000273958,6.785243441,0.053493106,PARP16
ILMN_1715804,0.056000695,0.000274249,-6.784061305,-0.071400509,PITPNA
ILMN_2055634,0.056475872,0.000277733,-6.770026015,-0.107742004,TIAF1
ILMN_1788251,0.057212335,0.000282527,-6.751035606,-0.071414869,SNN
ILMN_1794505,0.05726488,0.00028396,6.745430026,0.056597742,SHFM1
ILMN_1686227,0.057440874,0.00028601,6.737466457,0.059879638,GNA14
ILMN_1759453,0.058151171,0.000290738,6.719338586,0.075550674,UQCRB
ILMN_2070349,0.058269269,0.000293578,6.70860921,0.055036702,POLR3G
ILMN_2397571,0.058269269,0.000293716,6.708089208,0.096239778,PIGC
ILMN_1728645,0.058899409,0.000298891,-6.688847499,-0.074114392,
ILMN_1653828,0.058899409,0.000299306,-6.687318117,-0.05420804,CHFR
ILMN_1672443,0.058940922,0.000301986,-6.677516561,-0.085281069,QDPR
ILMN_1859946,0.058940922,0.00030305,6.67364962,0.162018478,UHMK1
